Layer, Layer attribute, Layer name, #input feature maps(C), Input Height(H), Input Width(W), #output feature maps(K), Filter Height(R), Filter Width(S), Zero Padding(Z), Vertical Conv Srtide(H), Horizontal Conv Stride(V), Height after Conv(P), Width after Conv(Q), Pooling after Conv, Pooling Height(D), Pooling Width(E), Vertical pooling stride(F), Horizontal pooling stride(G), Height after Pooling(A), Height after Pooling(B), Calculation, Input data size, Output data size, Weight data size, DRAM Traffic, DRAM Cycles, MAC Cycles, MAX Cycle, Long Pole
41, conv,conv2d40, 528, 14, 14, 160, 1, 1, FALSE, 1, 1, 14, 14,,,,,,,, 16558080, 221KB, 62KB, 165KB, 448KB, 44800, 282240, 282240, MAC
42, conv,conv2d41, 160, 14, 14, 320, 3, 3, TRUE, 1, 1, 14, 14,,,,,,,, 90316800, 74KB, 123KB, 900KB, 1097KB, 109700, 1693440, 1693440, MAC
43, conv,conv2d42, 528, 14, 14, 32, 1, 1, FALSE, 1, 1, 14, 14,,,,,,,, 3311616, 221KB, 13KB, 33KB, 267KB, 26700, 56448, 56448, MAC
44, conv,conv2d43, 32, 14, 14, 128, 5, 5, TRUE, 1, 1, 14, 14, TRUE, 3, 3, 1, 1, 12, 12, 20070400, 25KB, 36KB, 200KB, 261KB, 26100, 627200, 627200, MAC
45, conv,conv2d44, 528, 14, 14, 128, 1, 1, FALSE, 1, 1, 14, 14, TRUE, 3, 3, 2, 2, 7, 7, 13246464, 221KB, 13KB, 132KB, 366KB, 36600, 225792, 225792, MAC
46, conv,conv2d45, 832, 7, 7, 256, 1, 1, FALSE, 1, 1, 7, 7,,,,,,,, 10436608, 80KB, 25KB, 416KB, 521KB, 52100, 163072, 163072, MAC
47, conv,conv2d46, 832, 7, 7, 160, 1, 1, FALSE, 1, 1, 7, 7,,,,,,,, 6522880, 80KB, 16KB, 260KB, 356KB, 35600, 101920, 101920, MAC
48, conv,conv2d47, 160, 7, 7, 320, 3, 3, TRUE, 1, 1, 7, 7,,,,,,,, 22579200, 19KB, 31KB, 900KB, 950KB, 95000, 423360, 423360, MAC
49, conv,conv2d48, 832, 7, 7, 32, 1, 1, FALSE, 1, 1, 7, 7,,,,,,,, 1304576, 80KB, 4KB, 52KB, 136KB, 13600, 20384, 20384, MAC
50, conv,conv2d49, 32, 7, 7, 128, 5, 5, TRUE, 1, 1, 7, 7, TRUE, 3, 3, 1, 1, 5, 5, 5017600, 7KB, 7KB, 200KB, 214KB, 21400, 156800, 156800, MAC
51, conv,conv2d50, 832, 7, 7, 128, 1, 1, FALSE, 1, 1, 7, 7,,,,,,,, 5218304, 80KB, 13KB, 208KB, 301KB, 30100, 81536, 81536, MAC
52, conv,conv2d51, 832, 7, 7, 384, 1, 1, FALSE, 1, 1, 7, 7,,,,,,,, 15654912, 80KB, 37KB, 624KB, 741KB, 74100, 244608, 244608, MAC
53, conv,conv2d52, 832, 7, 7, 192, 1, 1, FALSE, 1, 1, 7, 7,,,,,,,, 7827456, 80KB, 19KB, 312KB, 411KB, 41100, 122304, 122304, MAC
54, conv,conv2d53, 192, 7, 7, 384, 3, 3, TRUE, 1, 1, 7, 7,,,,,,,, 32514048, 19KB, 37KB, 1296KB, 1352KB, 135200, 508032, 508032, MAC
55, conv,conv2d54, 832, 7, 7, 48, 1, 1, FALSE, 1, 1, 7, 7,,,,,,,, 1956864, 80KB, 5KB, 78KB, 163KB, 16300, 30576, 30576, MAC
56, conv,conv2d55, 48, 7, 7, 128, 5, 5, TRUE, 1, 1, 7, 7, TRUE, 3, 3, 1, 1, 5, 5, 7526400, 7KB, 7KB, 300KB, 314KB, 31400, 156800, 156800, MAC
57, conv,conv2d56, 832, 7, 7, 128, 1, 1, FALSE, 1, 1, 7, 7, TRUE, 7, 7, 1, 1, 1, 1, 5218304, 80KB, 1KB, 208KB, 289KB, 28900, 81536, 81536, MAC
58, fc,dense0, 1024, 1, 1, 1000, 1, 1, FALSE, 1, 1, 1, 1,,,,,,,, 1024000, 2KB, 2KB, 2000KB, 2004KB, 200400, 16128, 200400, DRAM
